source,target,similarity
0,1,0.766
0,2,0.8712
0,3,0.7567
0,4,0.6266
0,5,0.7029
0,6,0.7529
0,7,0.7419
0,8,0.7775
0,9,0.8204
0,10,0.7018
0,11,0.8212
0,12,0.6035
0,13,0.7134
0,14,0.8096
0,15,0.6977
0,16,0.7813
0,17,0.6649
0,18,0.7659
0,19,0.7673
0,20,0.796
0,21,0.6881
0,22,0.6626
0,23,0.8413
0,24,0.6887
0,25,0.6635
0,26,0.7677
0,27,0.6568
0,28,0.8057
0,29,0.6976
0,30,0.8058
0,31,0.6448
0,33,0.6616
0,34,0.6558
0,35,0.6177
0,36,0.6952
1,2,0.6883
1,3,0.8073
1,6,0.7729
1,7,0.5743
1,8,0.6952
1,9,0.7049
1,13,0.577
1,17,0.5561
1,18,0.5929
1,19,0.7954
1,23,0.6875
1,28,0.6503
1,29,0.5926
1,30,0.6547
1,33,0.5605
1,35,0.8441
1,36,0.5802
2,3,0.7001
2,5,0.7364
2,6,0.7038
2,7,0.7073
2,8,0.6462
2,9,0.6375
2,10,0.5768
2,11,0.7837
2,12,0.5772
2,14,0.7008
2,16,0.6362
2,18,0.6531
2,19,0.6504
2,20,0.6426
2,21,0.7563
2,22,0.7304
2,23,0.6971
2,24,0.563
2,25,0.5744
2,26,0.6455
2,27,0.5776
2,28,0.6174
2,30,0.6338
2,32,0.6325
2,35,0.6727
2,36,0.5575
3,6,0.678
3,7,0.6177
3,8,0.6668
3,9,0.6514
3,17,0.5725
3,18,0.6052
3,19,0.7187
3,23,0.6513
3,28,0.6105
3,29,0.6279
3,30,0.6142
3,35,0.6361
3,36,0.5805
4,10,0.7063
4,11,0.779
4,12,0.5814
4,14,0.7848
4,16,0.5763
4,20,0.7956
4,22,0.5896
5,7,0.5972
5,8,0.7303
5,11,0.5578
5,21,0.7617
5,22,0.641
5,24,0.588
5,25,0.6134
5,26,0.5513
5,27,0.614
5,31,0.6029
5,32,0.6232
6,7,0.7153
6,8,0.6923
6,9,0.63
6,13,0.6243
6,19,0.676
6,23,0.6953
6,28,0.5771
6,29,0.7201
6,30,0.6175
6,33,0.5679
6,35,0.5781
6,36,0.5915
7,8,0.6459
7,9,0.5641
7,11,0.5545
7,14,0.5582
7,18,0.6456
7,19,0.5935
7,21,0.5819
7,23,0.6017
7,29,0.571
8,9,0.6684
8,13,0.6035
8,16,0.5684
8,17,0.5615
8,19,0.6341
8,23,0.668
8,28,0.5992
8,29,0.6282
8,30,0.6215
8,36,0.6369
9,11,0.616
9,13,0.7063
9,14,0.7181
9,16,0.6445
9,18,0.623
9,19,0.7457
9,20,0.653
9,23,0.7118
9,28,0.694
9,29,0.7089
9,30,0.6904
9,33,0.6328
9,36,0.7543
10,11,0.8057
10,12,0.7435
10,14,0.7718
10,15,0.6246
10,16,0.7897
10,20,0.7512
10,22,0.6431
10,26,0.6815
10,28,0.5814
10,34,0.655
11,12,0.6537
11,14,0.8965
11,15,0.5617
11,16,0.7333
11,18,0.559
11,19,0.5547
11,20,0.8524
11,21,0.5748
11,22,0.7472
11,23,0.6137
11,24,0.5582
11,26,0.7096
11,28,0.5991
11,30,0.6007
12,16,0.6125
12,22,0.7038
12,32,0.5719
13,17,0.7356
13,19,0.6092
13,23,0.5528
13,25,0.5708
13,26,0.7519
13,28,0.5546
13,29,0.5731
13,33,0.6208
13,34,0.5913
13,36,0.5665
14,15,0.5572
14,16,0.7207
14,18,0.5899
14,19,0.5686
14,20,0.8708
14,22,0.5986
14,23,0.6314
14,26,0.6817
14,28,0.6365
14,29,0.5786
14,30,0.619
14,34,0.6033
14,36,0.5675
15,16,0.6057
15,20,0.7137
15,23,0.6427
15,26,0.5889
15,27,0.5665
15,28,0.7824
15,30,0.7213
15,31,0.5596
15,34,0.7391
16,20,0.689
16,23,0.6119
16,24,0.5714
16,26,0.7157
16,28,0.597
16,29,0.5709
16,30,0.6071
16,34,0.6776
17,18,0.5963
17,19,0.578
17,26,0.6441
17,33,0.5508
18,19,0.6669
18,21,0.6224
18,22,0.5615
18,23,0.6862
18,24,0.5867
18,27,0.6831
18,28,0.6694
18,30,0.5625
18,31,0.608
19,20,0.5622
19,23,0.707
19,28,0.6749
19,29,0.6546
19,30,0.6831
19,35,0.6312
19,36,0.6295
20,22,0.5571
20,23,0.6501
20,26,0.6812
20,28,0.7632
20,29,0.5803
20,30,0.7506
20,34,0.7098
20,36,0.5784
21,22,0.6235
21,24,0.6633
21,25,0.5971
21,26,0.6225
21,27,0.7382
21,31,0.6112
21,32,0.6746
22,26,0.5584
22,27,0.5631
22,32,0.7635
23,24,0.556
23,26,0.5518
23,27,0.5613
23,28,0.7442
23,29,0.658
23,30,0.8591
23,31,0.5908
23,33,0.7119
23,36,0.6524
24,25,0.6012
24,26,0.5639
24,27,0.64
24,31,0.6995
25,26,0.6116
26,27,0.6206
26,28,0.614
26,30,0.574
26,34,0.7668
27,28,0.5825
27,31,0.7264
27,32,0.5624
28,29,0.5985
28,30,0.8695
28,34,0.7032
28,36,0.5637
29,30,0.6592
29,36,0.7529
30,33,0.6414
30,34,0.6616
30,36,0.6784
