paper_id,topic
0,18
1,6
2,7
3,4
4,-1
5,30
6,6
7,9
8,0
9,-1
10,-1
11,9
12,9
13,6
14,-1
15,19
16,-1
17,-1
18,9
19,-1
20,-1
21,3
22,20
23,12
24,29
25,9
26,13
27,30
28,4
29,18
30,-1
31,-1
32,12
33,-1
34,0
35,-1
36,6
37,4
38,13
39,8
40,6
41,19
42,5
43,-1
44,-1
45,4
46,3
47,-1
48,-1
49,28
50,13
51,5
52,1
53,-1
54,10
55,-1
56,28
57,15
58,2
59,5
60,-1
61,4
62,-1
63,-1
64,-1
65,10
66,18
67,-1
68,-1
69,-1
70,6
71,4
72,5
73,7
74,16
75,18
76,12
77,19
78,-1
79,-1
80,4
81,10
82,-1
83,5
84,33
85,22
86,-1
87,-1
88,-1
89,3
90,7
91,0
92,-1
93,-1
94,10
95,-1
96,12
97,4
98,9
99,7
100,5
101,12
102,18
103,9
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,4
111,4
112,-1
113,6
114,-1
115,19
116,3
117,-1
118,7
119,-1
120,8
121,32
122,-1
123,11
124,4
125,12
126,-1
127,8
128,8
129,-1
130,6
131,-1
132,35
133,19
134,-1
135,12
136,30
137,16
138,28
139,-1
140,36
141,13
142,6
143,9
144,12
145,-1
146,4
147,-1
148,12
149,-1
150,28
151,33
152,23
153,9
154,9
155,-1
156,4
157,7
158,16
159,9
160,8
161,12
162,34
163,-1
164,18
165,-1
166,8
167,0
168,34
169,8
170,2
171,-1
172,-1
173,-1
174,3
175,-1
176,28
177,9
178,28
179,5
180,32
181,29
182,8
183,12
184,-1
185,15
186,4
187,-1
188,3
189,0
190,15
191,3
192,4
193,-1
194,8
195,0
196,6
197,7
198,-1
199,4
200,-1
201,-1
202,4
203,-1
204,-1
205,15
206,29
207,0
208,-1
209,6
210,-1
211,16
212,3
213,-1
214,6
215,-1
216,3
217,7
218,-1
219,7
220,-1
221,-1
222,4
223,8
224,18
225,14
226,4
227,0
228,8
229,7
230,9
231,10
232,10
233,6
234,-1
235,-1
236,3
237,12
238,-1
239,3
240,4
241,-1
242,6
243,0
244,13
245,38
246,-1
247,4
248,-1
249,-1
250,30
251,-1
252,-1
253,3
254,4
255,0
256,0
257,-1
258,36
259,-1
260,38
261,-1
262,-1
263,8
264,-1
265,34
266,-1
267,15
268,17
269,8
270,11
271,12
272,18
273,4
274,4
275,0
276,14
277,-1
278,-1
279,-1
280,13
281,17
282,-1
283,18
